Platform ,Gender,Category,Price range,Delivery Charge,Product Name,Review,Star
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,কিছু বলবো না ভাই... এই প্রথম এমন টা হলো... যদিও সেলার ভাই বলছে যে উনি ড্যামেজড প্রডাক্ট দেয়নি... রিটার্ন করতে বলছে... কিন্তু এই ২৬৯ টাকার প্রডাক্ট রিটার্ন করতে গেলে আমার আরোও ৫০০ টাকা খরচ প্লাস সময় ও যাবে... এখানে টাকা টা ফ্যাক্ট না... এই জিনিস আরোও ২০০ টাকা বেশি নিলেও প্রব্লেম ছিলোনা... কোয়ালিটি খুবই ভালো... এখন দোষ টা কার দিবো ভাই বলেন? দারাজের নাকি আপনাদের?,1
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ছবিতে দেখে যত ভালো কোয়ালিটি মনে হয় তেমন লাগে না আর ঘড়ি তেমন ভালো না অল্পতে ভাঙ্গি যাবে। দাম অনুযাই ঠিক আছে,1
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"I have got it...it’s nice..but battery dead... যে জন্য ঘড়িটা নিলাম তাই হচ্ছে না। ব্যাটারি শেষ, চলছে না। লাভ কি হলো 😥",1
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়ির বেল্ট খুব নিম্নমানের।রিভিউ দেখে নিলাম কিন্তু আমি হতাশ,1
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ঘড়ির বেলটা যে এত পচা মানের তা জানলে ঘড়িটা আমি নিতামই না,1
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"আমি যেমন ভেবেছিলাম তেমন না ,আমি এই ঘড়িটি কিনে খুব হতাশ",1
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,কিছু বলবো না ভাই... এই প্রথম এমন টা হলো... যদিও সেলার ভাই বলছে যে উনি ড্যামেজড প্রডাক্ট দেয়নি... রিটার্ন করতে বলছে... কিন্তু এই ২৬৯ টাকার প্রডাক্ট রিটার্ন করতে গেলে আমার আরোও ৫০০ টাকা খরচ প্লাস সময় ও যাবে... এখানে টাকা টা ফ্যাক্ট না... এই জিনিস আরোও ২০০ টাকা বেশি নিলেও প্রব্লেম ছিলোনা... কোয়ালিটি খুবই ভালো... এখন দোষ টা কার দিবো ভাই বলেন? দারাজের নাকি আপনাদের?,2
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,ছবিতে দেখে যত ভালো কোয়ালিটি মনে হয় তেমন লাগে না আর ঘড়ি তেমন ভালো না অল্পতে ভাঙ্গি যাবে। দাম অনুযাই ঠিক আছে,2
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,"যে জন্য ঘড়িটা নিলাম তাই হচ্ছে না। ব্যাটারি শেষ, চলছে না। লাভ কি হলো 😥",2
Daraz,male,Watch,0-150,free,Current black color formal analog watches for men - Watch,আলহামদুলিল্লাহ যেমন চেয়েছি তেমনই পেয়েছি। কিন্তু কয়েকদিন ব্যবহার করার পরে বেল্টের কালার উঠে যাচ্ছে।,3
